x,y,z
2.98986,-0.888982,-4.35962
2.17363,-1.31084,-4.47798
2.83755,-0.958111,-4.57595
2.08824,-1.34862,-4.63231
2.74362,-1.01378,-4.77077
1.97125,-1.37583,-4.8604
2.64726,-1.03606,-5.00696
1.80733,-1.40658,-5.20182
2.54368,-1.06365,-5.32838
1.70521,-1.42574,-5.42966
2.42854,-1.10672,-5.59728
2.72394,-0.991446,-2.59392
1.8396,-1.04494,-2.21885
1.95277,-0.870612,-2.425
2.63671,-0.706883,-2.71934
2.63671,-0.706883,-2.71934
2.40827,-0.890975,-2.93159
2.67514,-0.772986,-2.78464
2.48162,-0.992837,-3.1579
2.76108,-0.934009,-3.34313
3.02201,-0.71722,-2.93567
3.00685,-0.786586,-3.15998
3.38411,-0.609178,-3.15746
3.48874,-0.417224,-2.8214
2.53621,-0.958051,-2.94821
2.66358,-0.861852,-2.83469
2.88217,-0.843545,-2.93735
2.92534,-0.894157,-3.10088
2.75687,-1.00708,-3.22978
2.55549,-1.02227,-3.08917
2.67439,-0.933123,-2.93762
2.78041,-0.918971,-2.97245
2.627,-0.979362,-2.98733
2.62952,-1.00242,-3.05221
2.75097,-0.986978,-3.11111
2.80791,-0.930632,-3.0451
4.33061,0.776805,-1.41192
4.31396,1.11322,-1.23372
4.32417,0.686738,-1.48549
4.24834,0.36286,-1.9029
4.63485,0.797032,-1.56537
4.62483,1.03393,-1.45521
4.56678,0.443689,-1.9257
4.18889,0.205079,-2.33727
4.13786,0.100062,-2.70301
4.02287,-0.0339,-3.36961
3.76429,-0.369424,-3.90937
4.45635,0.204624,-2.39893
4.35957,0.104717,-2.78467
4.12501,0.000466,-3.39416
4.24174,0.094279,-3.46507
4.4799,0.178521,-2.86612
4.57688,0.255504,-2.43744
4.64855,0.494981,-1.97738
3.51314,-0.544512,-4.43512
3.49772,-0.557091,-4.48206
3.3791,-0.630729,-4.70096
3.3248,-0.64954,-4.79291
3.16611,-0.719668,-5.04753
2.97441,-0.804852,-5.39482
2.81696,-0.778881,-5.69819
3.67099,-0.278001,-4.56932
3.89848,0.065554,-4.08853
3.52966,-0.407969,-4.81012
3.32822,-0.51918,-5.10642
3.04855,-0.657509,-5.43287
1.8745,0.825335,0.840434
1.65319,0.708563,0.929418
1.78991,0.484963,0.559574
2.02225,0.586962,0.544661
1.65319,0.708563,0.929418
1.61955,0.484865,1.08566
1.70934,0.303075,0.70881
1.78991,0.484963,0.559574
1.49406,0.28435,1.26558
1.60859,0.115187,0.873861
1.67916,-0.029714,0.633915
1.77839,0.139324,0.482136
1.87246,0.310705,0.346143
1.87246,0.310705,0.346143
2.14529,0.375192,0.339204
1.91572,0.014837,0.040941
2.20123,0.064496,0.000293
1.76452,-0.117671,0.177998
1.91572,0.014837,0.040941
1.67603,-0.229159,0.329475
1.55578,-0.505726,0.021224
1.71896,-0.469903,-0.160742
1.27039,-0.784968,-0.147104
1.52673,-0.664287,-0.330392
1.39474,-0.760716,-0.413036
0.965119,-0.95435,-0.260672
1.13358,-0.87648,-0.529377
0.660852,-1.02641,-0.430087
0.890434,-1.03014,-0.667131
1.0839,-0.962937,-0.908114
1.2921,-0.823783,-0.754556
1.49741,-0.744497,-0.724919
1.77403,-0.533113,-0.55782
1.91887,-0.339632,-0.33156
1.91887,-0.339632,-0.33156
2.29322,-0.339257,-0.484214
1.87045,-0.450844,-0.652197
2.20463,-0.492489,-0.76189
1.92056,-0.635633,-0.911602
1.87045,-0.450844,-0.652197
1.92056,-0.635633,-0.911602
2.15001,-0.738764,-1.07767
1.17333,-0.974752,-0.937966
1.35925,-0.864891,-0.802611
1.56481,-0.792898,-0.797042
1.86334,-0.91409,-0.977168
2.10774,-0.953456,-1.14322
1.71582,-0.966024,-0.929656
1.86334,-0.91409,-0.977168
1.61838,-1.02969,-0.925175
1.36961,-1.11968,-1.01534
1.83285,-1.18526,-1.02053
1.62604,-1.28861,-1.07674
2.04525,-1.16885,-1.15372
1.83285,-1.18526,-1.02053
1.9296,0.868969,0.766195
2.11674,0.601314,0.495058
1.9296,0.868969,0.766195
2.11674,0.601314,0.495058
2.25591,0.416612,0.276612
2.25591,0.416612,0.276612
2.28126,0.119904,-0.081355
2.28126,0.119904,-0.081355
2.3606,-0.198334,-0.599489
2.3606,-0.198334,-0.599489
2.29063,-0.390191,-0.891433
2.14954,-0.593719,-1.23485
2.29063,-0.390191,-0.891433
2.14954,-0.593719,-1.23485
2.05049,-0.809457,-1.36673
1.94786,-0.959888,-1.38145
1.76486,-0.781579,-1.36183
1.77285,-1.09563,-1.32838
1.64433,-0.804401,-1.32705
1.56498,-1.03431,-1.26152
1.53591,-0.807226,-1.29811
1.49729,-0.841721,-1.33913
1.40243,-0.788059,-1.22617
1.36458,-0.924075,-1.18079
1.7141,-1.31899,-1.0936
2.04525,-1.16885,-1.15372
1.98353,-1.2747,-1.1571
1.94786,-0.959888,-1.38145
2.05049,-0.809457,-1.36673
1.08267,-1.20988,-2.15916
0.979704,-1.34242,-2.07131
1.00292,-1.41597,-2.14432
1.11518,-1.30011,-2.21954
1.08267,-1.20988,-2.15916
1.36292,-1.2288,-1.93139
1.28868,-1.33745,-1.81886
0.979704,-1.34242,-2.07131
1.1848,-1.6206,-2.36009
1.25933,-1.56334,-2.426
1.54532,-1.1274,-1.78182
1.49933,-1.25979,-1.6199
1.1848,-1.6206,-2.36009
1.15066,-1.70571,-2.57788
1.17032,-1.62535,-2.68354
1.25933,-1.56334,-2.426
1.13857,-1.60807,-2.3557
1.0761,-1.6405,-2.44146
1.00292,-1.41597,-2.14432
0.946039,-1.40532,-2.13957
0.979704,-1.34242,-2.07131
0.911458,-1.29308,-2.00659
1.28868,-1.33745,-1.81886
1.22679,-1.26394,-1.75878
1.49933,-1.25979,-1.6199
1.43033,-1.24214,-1.6059
1.18529,-1.03959,-1.49444
1.10621,-1.17028,-1.68525
1.00321,-1.20418,-1.85319
0.987919,-0.943063,-1.57773
1.01149,-0.849459,-1.46615
1.49933,-1.25979,-1.6199
1.41255,-0.846861,-1.26547
1.16317,-0.749894,-1.08363
1.21502,-0.631844,-1.13988
1.09044,-0.678469,-1.02351
1.14006,-0.548845,-1.08562
1.41255,-0.846861,-1.26547
1.32274,-0.839324,-1.28229
1.1259,-0.726983,-1.24788
1.40243,-0.788059,-1.22617
1.21502,-0.631844,-1.13988
1.14006,-0.548845,-1.08562
0.97596,-0.439031,-1.25364
0.95107,-0.657946,-1.49034
0.923414,-0.752181,-1.56325
0.899215,-0.440476,-1.07984
0.696132,-0.597604,-1.18218
0.772368,-0.594727,-1.36333
0.97596,-0.439031,-1.25364
0.541634,-0.706386,-1.35772
0.706202,-0.661758,-1.44575
1.03187,-0.501241,-0.910848
0.972473,-0.702188,-0.904372
1.05316,-0.364276,-0.94726
0.953346,-0.56064,-0.798897
0.945703,-0.352311,-0.793197
0.945703,-0.352311,-0.793197
0.840242,-0.424596,-0.927747
1.05316,-0.364276,-0.94726
0.620113,-0.584601,-1.06801
0.40603,-0.658817,-1.18137
0.776626,-0.397058,-0.858709
0.588595,-0.557169,-1.03178
0.372288,-0.620912,-1.14357
0.552893,-0.508997,-0.992161
0.344751,-0.559124,-1.11014
0.223761,-0.654281,-1.18566
0.250869,-0.715051,-1.22652
0.123685,-0.616287,-1.15918
0.306132,-0.761379,-1.32829
0.881827,-0.435746,-0.723916
0.75786,-0.456694,-0.781188
0.776626,-0.397058,-0.858709
0.945703,-0.352311,-0.793197
0.882614,-0.755154,-0.775412
0.723647,-0.645566,-0.597074
0.666779,-0.796182,-0.552895
0.611036,-0.788876,-0.525612
0.562304,-0.969606,-0.41658
0.876471,-0.90486,-0.148345
1.1381,-0.774442,-0.091895
1.48518,-0.500447,0.079724
1.59616,-0.235293,0.37936
1.56667,-0.073622,0.634397
1.51245,0.076482,0.897163
1.41237,0.310801,1.28183
1.23796,0.239116,0.865933
1.31316,0.121402,0.598818
1.26539,0.014263,0.325109
1.17217,-0.288578,0.003799
1.03891,-0.599331,-0.054216
0.723647,-0.645566,-0.597074
0.525206,-0.685298,-0.699021
0.542374,-0.544174,-0.8423
0.552893,-0.508997,-0.992161
0.455321,-0.782268,-0.546323
0.501866,-0.662164,-0.586513
0.37912,-0.863837,-0.50701
0.503536,-0.70522,-0.631044
0.501866,-0.662164,-0.586513
0.304694,-0.726692,-0.630063
0.299927,-0.76545,-0.673631
0.325211,-0.738581,-0.748447
0.21535,-0.743346,-0.596543
0.304694,-0.726692,-0.630063
0.127284,-0.76849,-0.76445
0.113276,-0.767337,-0.678553
0.0,-0.749186,-0.689031
0.0,-0.766285,-0.768149
0.137651,-0.687754,-0.62293
0.224965,-0.626931,-0.434611
0.096537,-0.609019,-0.571215
0.21535,-0.743346,-0.596543
0.0,-0.700115,-0.629419
0.322935,-0.611039,-0.90035
0.344751,-0.559124,-1.11014
0.108917,-0.646315,-0.939211
0.123685,-0.616287,-1.15918
0.016477,-0.649357,-0.926391
0.0,-0.65134,-0.921285
0.0,-0.667317,-1.14395
-0.000578,-0.652702,-1.14941
0.0,-0.616228,-0.557739
0.139737,-0.699986,-1.17161
-0.000578,-0.652702,-1.14941
-0.004388,-0.722007,-1.17417
-0.004388,-0.722007,-1.17417
-0.000578,-0.652702,-1.14941
0.0,-0.667317,-1.14395
0.0,-0.755149,-1.17053
0.0,-0.832548,-1.19524
-0.007583,-0.792125,-1.1912
-0.007583,-0.792125,-1.1912
0.127929,-0.754604,-1.19389
0.13037,-0.861437,-1.25481
0.24136,-0.814638,-1.27816
0.03309,-0.896798,-1.25403
0.0,-0.832548,-1.19524
0.0,-0.924864,-1.25558
0.260266,-0.950578,-1.42941
0.274387,-0.895555,-1.43739
0.166855,-0.996518,-1.399
0.0,-1.03901,-1.38662
0.306132,-0.761379,-1.32829
0.274387,-0.895555,-1.43739
0.490997,-1.07906,-1.45208
0.672423,-1.05825,-1.32111
0.306132,-0.761379,-1.32829
0.672423,-1.05825,-1.32111
0.733092,-0.88367,-1.44684
0.541634,-0.706386,-1.35772
0.777042,-1.17979,-1.37449
0.852626,-1.05254,-1.50031
0.706202,-0.661758,-1.44575
0.806198,-0.783523,-1.46826
0.923414,-0.752181,-1.56325
0.957618,-0.980468,-1.55018
0.987919,-0.943063,-1.57773
0.83162,-0.611914,-1.50774
1.06125,-1.24992,-1.69358
1.06246,-1.14746,-1.71022
0.991865,-1.30948,-1.64375
0.918461,-1.39703,-1.55902
0.600731,-1.20176,-1.52927
0.777042,-1.17979,-1.37449
1.04367,-1.30745,-1.73899
1.00321,-1.20418,-1.85319
0.961809,-1.51481,-1.79336
0.911458,-1.29308,-2.00659
0.871396,-1.60036,-1.70736
0.643279,-1.34435,-1.59742
0.918461,-1.39703,-1.55902
0.616929,-1.44168,-1.64779
0.871396,-1.60036,-1.70736
0.803006,-1.65691,-1.78821
0.729624,-1.4288,-1.99923
0.923605,-1.52876,-2.04724
0.887021,-1.74012,-2.08962
0.908608,-1.57088,-2.26812
0.946039,-1.40532,-2.13957
0.80478,-1.53363,-2.01798
0.752157,-1.66239,-2.0405
0.887021,-1.74012,-2.08962
0.923605,-1.52876,-2.04724
0.729624,-1.4288,-1.99923
0.544718,-1.66841,-2.04448
0.628571,-1.84526,-2.05058
0.697121,-1.90116,-2.14715
0.550252,-1.78728,-1.90705
0.544718,-1.66841,-2.04448
0.487346,-1.54944,-1.72454
0.803006,-1.65691,-1.78821
0.395899,-1.64042,-1.82525
0.550252,-1.78728,-1.90705
0.25085,-1.01585,-1.63798
0.244374,-0.946017,-1.65823
0.123817,-1.10777,-1.64274
0.0,-1.11706,-1.61284
0.0,-1.09017,-1.83829
0.075363,-1.07142,-1.84282
0.245409,-0.985872,-1.81066
0.304946,-0.97447,-1.8052
0.085459,-0.95337,-1.9889
0.0,-0.997148,-2.00002
0.228664,-0.914844,-1.93878
0.302674,-0.896202,-1.92534
0.244374,-0.946017,-1.65823
0.296986,-1.05187,-1.69917
0.439278,-1.22379,-1.77072
0.314085,-1.37137,-1.88332
0.179735,-1.4948,-1.98447
0.304946,-0.97447,-1.8052
0.32483,-1.00366,-1.84137
0.222738,-1.15533,-1.89441
0.172525,-1.23104,-1.97874
0.302674,-0.896202,-1.92534
0.275138,-0.980982,-1.98927
0.185271,-1.14215,-2.03647
0.159347,-1.22995,-2.07786
0.081716,-1.38489,-2.18685
0.114834,-1.42051,-2.16285
