x,y,z
5.87326,-0.159926,0.913131
6.20338,-0.386271,-0.007583
6.20338,-0.739216,-0.007574
5.91904,-0.402825,-0.076394
6.24581,-0.915701,-0.310265
5.87326,0.159912,0.91314
5.95749,0.242908,-0.350702
6.24581,0.209802,-0.310283
6.16445,0.176464,0.941323
6.16445,-0.17648,0.941314
5.87233,0.159941,0.359162
5.99595,0.402854,-0.625025
6.28825,0.386303,-0.613002
6.28825,-0.739248,-0.612975
6.28825,-0.386303,-0.613002
5.99595,-0.402854,-0.625025
5.8728,0.319843,0.636159
6.24581,-0.209802,-0.310283
5.95749,-0.242908,-0.350702
5.99595,0.722692,-0.625
6.16394,0.35295,0.635673
6.28825,0.739248,-0.612975
6.16342,0.176496,0.330003
5.77307,0.390779,0.63633
5.7725,0.195413,0.297899
5.44481,0.153631,0.370806
5.44525,0.307224,0.636875
6.29903,0.780442,-0.6835
6.29903,0.34512,-0.683534
5.90571,0.367392,-0.699712
5.9057,0.758165,-0.699682
5.29615,-0.649239,-0.594654
5.29615,-0.476288,-0.594668
5.57102,-0.409163,-0.673559
5.57102,-0.716382,-0.673535
5.81174,-0.367356,-0.029404
5.81174,-0.758129,-0.029394
6.19435,-0.780403,0.063202
6.19435,-0.345081,0.063191
5.85872,0.171973,-0.364548
5.81174,0.367356,-0.029404
5.49715,0.409135,-0.146573
5.53408,0.255527,-0.410058
5.57102,0.409163,-0.673559
5.27536,0.389797,-0.446328
5.29615,0.476288,-0.594668
6.16419,-0.217631,0.258628
6.16482,-0.435329,0.635652
5.77307,-0.390779,0.63631
5.7725,-0.19536,0.297868
5.4457,-0.153617,0.90292
5.4457,0.153603,0.902928
5.18425,0.086472,0.787083
5.18425,-0.08648,0.787078
5.81174,0.758129,-0.029394
5.85872,0.95353,-0.364528
5.53408,0.869976,-0.410042
5.49715,0.716354,-0.146565
5.85872,-0.95353,-0.364528
5.9057,-0.758165,-0.699682
6.29903,-0.780442,-0.6835
6.24668,-0.99808,-0.310138
5.49715,-0.409135,-0.146573
5.49715,-0.716354,-0.146565
5.25457,0.476272,-0.297997
6.16545,-0.217671,1.01265
5.77363,-0.195395,0.97473
5.44525,-0.307224,0.636859
5.44481,-0.153589,0.370782
5.77363,0.195378,0.97474
6.19435,0.780403,0.063202
6.24668,0.99808,-0.310138
5.25457,-0.649223,-0.297993
5.27536,-0.735706,-0.446319
5.53408,-0.869976,-0.410042
5.25457,-0.476272,-0.297997
6.19435,0.345081,0.063191
5.184,-0.172954,0.637297
5.18375,-0.086464,0.487507
6.16545,0.217651,1.01267
5.25457,0.649223,-0.297993
5.27536,0.735706,-0.446319
6.16482,0.435329,0.635675
5.18375,0.086488,0.487521
6.24669,0.127423,-0.310161
5.27536,-0.389797,-0.446328
5.53408,-0.255527,-0.410058
5.90571,-0.367392,-0.699712
5.85872,-0.171973,-0.364548
6.24669,-0.127423,-0.310161
6.29903,-0.34512,-0.683534
5.57102,0.716382,-0.673535
5.184,0.172954,0.637307
6.16419,0.217691,0.258662
5.29615,0.649239,-0.594654
5.1661,0.159236,0.913155
5.1661,-0.15925,0.913146
5.29547,-0.40353,-0.722041
5.25718,-0.24426,-0.448877
5.21889,-0.721987,-0.175721
5.21889,-0.403501,-0.175729
5.25718,0.881243,-0.44886
5.29547,0.722016,-0.722016
5.16518,-0.159221,0.361493
5.16564,-0.318491,0.637328
5.29547,0.40353,-0.722041
5.25718,-0.881243,-0.44886
5.21889,0.721987,-0.175721
5.21889,0.403501,-0.175729
5.16518,0.159265,0.361518
5.16564,0.318491,0.637345
5.29547,-0.722016,-0.722016
5.25718,0.24426,-0.448877
