x,y,z
0.0580665,0.03011,-0.07293
0.0581395,0.036191,-0.072775
0.0835365,-0.008379,-0.072114
-0.0337535,-0.002871,-0.072358
-0.0429685,-0.005064,-0.071747
-0.0119305,0.026515,-0.07288
0.0637085,0.037835,-0.071122
0.0628615,0.028398,-0.071695
0.0884465,-0.004709,-0.072128
-0.0428775,-0.006079,-0.072468
0.0663585,0.029064,-0.072472
-0.0196825,0.032883,-0.072137
0.0613295,0.028731,-0.07159
0.0587785,0.031637,-0.07103
-0.0433525,-0.002973,-0.071691
0.0786175,-0.002476,-0.071384
0.0790035,-0.00098,-0.071283
-0.0182365,0.026135,-0.072142
-0.0378935,-0.008055,-0.071778
-0.0402895,-0.007551,-0.070732
-0.0106515,0.026395,-0.059571
-0.0130775,0.026411,-0.055756
-0.0121165,0.026673,-0.055499
-0.0146495,0.035804,-0.070584
-0.0132315,0.034248,-0.067617
-0.0152995,0.033681,-0.066725
-0.0120635,0.026798,-0.071419
0.0610495,0.037135,-0.070745
-0.0102885,0.03152,-0.071737
-0.0105035,0.032774,-0.071589
0.0875185,0.000375,-0.072413
0.0595405,0.030272,-0.070759
0.0858005,-0.007947,-0.072174
-0.0115525,0.034495,-0.072278
-0.0162075,0.03561,-0.070952
0.0584225,0.035718,-0.071906
-0.0143165,0.035858,-0.071949
0.0591205,0.033231,-0.070152
-0.0431685,-0.001991,-0.071713
-0.0423415,-0.000186,-0.071121
0.0681065,0.036205,-0.070805
0.0686665,0.034858,-0.070598
-0.0385575,0.002033,-0.071663
0.0809265,0.001255,-0.071453
-0.0344235,-0.005847,-0.07227
0.0666735,0.028724,-0.070823
0.0636465,0.028068,-0.070608
0.0657205,0.028382,-0.070482
0.0879825,-0.00055,-0.072275
-0.0340845,-0.002919,-0.070902
0.0677135,0.029577,-0.071884
-0.0117665,0.027871,-0.06974
-0.0409485,0.001313,-0.071315
0.0788325,-0.005669,-0.0713
0.0812995,-0.007937,-0.07132
-0.0139515,0.025896,-0.071251
0.0790175,-0.005357,-0.070514
0.0842755,-0.008109,-0.071168
0.0830725,0.001878,-0.071549
0.0602755,0.03633,-0.070331
-0.0198025,0.028406,-0.071421
-0.0364475,0.001251,-0.071333
0.0864145,0.001099,-0.071283
-0.0203785,0.030202,-0.07126
-0.0182505,0.026221,-0.071411
-0.0184935,0.034037,-0.070245
-0.0427095,-0.005031,-0.070372
0.0880195,-0.004698,-0.070791
-0.0120315,0.034975,-0.071586
-0.0349815,-0.000371,-0.071544
0.0865205,-0.006379,-0.069772
-0.0343255,-0.004662,-0.070865
-0.0350365,-0.006591,-0.071476
-0.0114885,0.033247,-0.068835
0.0593255,0.034326,-0.070024
0.0866735,0.000175,-0.06974
-0.0399655,0.001825,-0.071457
-0.0149975,0.026472,-0.069253
-0.0376085,-0.007823,-0.071163
0.0663915,0.037789,-0.069982
0.0802475,0.000631,-0.070923
-0.0190205,0.02693,-0.071474
0.0879085,-0.003327,-0.069367
0.0686435,0.033874,-0.069872
-0.0176625,0.034897,-0.070658
0.0803715,-0.00718,-0.070868
-0.0201635,0.031069,-0.070346
-0.0418855,-0.006433,-0.070491
-0.0136515,0.035558,-0.070401
-0.0429225,-0.001968,-0.070332
-0.0376225,0.000922,-0.067521
0.0823135,-0.006885,-0.06883
-0.0392805,-0.006289,-0.068816
-0.0111935,0.028839,-0.070185
0.0833005,-0.006978,-0.06854
0.0673125,0.037174,-0.070364
-0.0357255,-0.006057,-0.070966
0.0676155,0.029407,-0.071168
0.0811985,8.49999e-05,-0.069178
-0.0356205,0.000321,-0.069271
-0.0188165,0.027379,-0.070657
0.0674755,0.031111,-0.068904
0.0845335,0.001046,-0.068921
-0.0346095,-0.002919,-0.07019
0.0608315,0.028807,-0.070286
0.0789165,-0.002367,-0.070565
0.0600255,0.035471,-0.068982
0.0599335,0.03441,-0.06831
-0.0348305,-0.004383,-0.07018
-0.0359115,-0.005871,-0.070139
0.0640145,0.038104,-0.069464
-0.0130455,0.027038,-0.068711
-0.0415265,0.000522,-0.07052
-0.0383735,0.000345,-0.066685
0.0599615,0.029582,-0.069848
-0.0187155,0.029933,-0.068848
-0.0405205,-0.005009,-0.068628
-0.0427735,-0.002966,-0.06966
-0.0366555,0.000991,-0.069133
0.0628545,0.037833,-0.069205
-0.0369115,-0.006707,-0.069997
0.0668895,0.036339,-0.067517
0.0652565,0.03809,-0.069694
-0.0122565,0.03389,-0.068181
-0.0161985,0.034346,-0.068256
0.0669355,0.030256,-0.068397
0.0618345,0.028792,-0.06906
0.0594975,0.030877,-0.069285
-0.0350305,-0.000446,-0.070061
-0.0192115,0.031932,-0.069312
0.0820975,4.59999e-05,-0.067448
0.0853305,0.000701,-0.067952
0.0800185,-0.002119,-0.068793
-0.0175375,0.028076,-0.068858
0.0877665,-0.003213,-0.067223
-0.0411025,-0.001917,-0.068454
-0.0107525,0.031379,-0.068233
-0.0369915,-0.006126,-0.068503
-0.0351865,-0.005065,-0.068665
-0.0111165,0.029337,-0.067901
0.0595245,0.033231,-0.068582
0.0838015,-0.006452,-0.066933
0.0644225,0.029095,-0.067993
-0.0158905,0.027281,-0.067866
0.0678835,0.035008,-0.067121
0.0619495,0.036842,-0.068082
-0.0412675,-0.003136,-0.068454
0.0600755,0.030081,-0.069008
0.0875505,-0.002309,-0.068017
-0.0346165,-0.000348,-0.067985
-0.0125515,0.027405,-0.067084
0.0830125,0.000465,-0.067177
-0.0165725,0.03186,-0.065831
0.0798245,-0.004381,-0.068849
0.0809465,-0.004151,-0.066326
0.0868065,-0.005599,-0.068228
-0.0338565,-0.003817,-0.067333
0.0874445,-0.004778,-0.068043
0.0858175,-0.006303,-0.067792
0.0660875,0.029755,-0.067241
-0.0110245,0.03241,-0.067411
0.0634175,0.036493,-0.066704
-0.0376385,-0.005792,-0.066909
-0.0349845,0.000907,-0.065124
0.0809235,-0.001944,-0.067065
0.0648935,0.036859,-0.066836
-0.0382815,-0.005173,-0.066074
-0.0335025,-0.006149,-0.061844
-0.0346415,-0.00601,-0.060986
-0.0331535,-0.005257,-0.059171
0.0678075,0.031976,-0.067985
0.0674655,0.03097,-0.067391
-0.0148115,0.027255,-0.065422
-0.0157635,0.027759,-0.066286
-0.0401025,-0.002886,-0.067185
0.0813545,-0.005294,-0.066929
0.0633135,0.029669,-0.066909
-0.0171135,0.030605,-0.066156
0.0682535,0.034078,-0.066992
0.0610175,0.032836,-0.0668
0.0839455,0.000569,-0.066171
-0.0125285,0.033706,-0.066092
-0.0108475,0.028646,-0.065753
-0.0118295,0.027708,-0.066134
-0.0385785,-0.000748,-0.065233
-0.0334385,-0.004731,-0.06601
0.0640185,0.029825,-0.065859
-0.0362375,0.001037,-0.06494
-0.0348275,0.001546,-0.063778
0.0856295,0.000414,-0.066399
